iter	Passed	Remaining
0	119	119803
1	122	60905
2	126	42081
3	128	32098
4	131	26157
5	134	22225
6	137	19439
7	139	17293
8	141	15632
9	144	14350
10	147	13274
11	150	12398
12	154	11709
13	157	11065
14	159	10496
15	162	9981
16	164	9539
17	167	9158
18	170	8789
19	172	8469
20	174	8154
21	176	7860
22	180	7650
23	182	7422
24	185	7215
25	187	7016
26	189	6836
27	191	6656
28	194	6505
29	196	6360
30	198	6216
31	200	6080
32	203	5961
33	205	5831
34	207	5714
35	210	5626
36	211	5516
37	213	5414
38	216	5333
39	218	5252
40	221	5182
41	224	5116
42	227	5052
43	228	4968
44	230	4896
45	233	4841
46	236	4797
47	239	4756
48	242	4699
49	243	4627
50	245	4571
51	247	4513
52	249	4463
53	252	4427
54	254	4380
55	257	4336
56	259	4288
57	261	4243
58	262	4192
59	265	4153
60	267	4116
61	269	4076
62	271	4038
63	273	4001
64	275	3965
65	277	3928
66	279	3898
67	282	3866
68	284	3837
69	286	3806
70	288	3777
71	291	3751
72	293	3726
73	296	3707
74	298	3681
75	300	3655
76	302	3627
77	304	3600
78	306	3573
79	308	3546
80	310	3527
81	313	3505
82	314	3470
83	316	3447
84	318	3424
85	320	3401
86	321	3378
87	323	3356
88	326	3344
89	328	3323
90	330	3302
91	332	3282
92	334	3263
93	336	3247
94	339	3230
95	342	3221
96	343	3199
97	344	3174
98	346	3156
99	349	3142
100	350	3123
101	352	3100
102	354	3083
103	356	3069
104	358	3058
105	360	3044
106	363	3030
107	365	3015
108	366	2999
109	369	2987
110	371	2977
111	373	2964
112	376	2953
113	378	2941
114	380	2928
115	382	2915
116	384	2898
117	386	2891
118	389	2883
119	391	2869
120	393	2857
121	394	2841
122	397	2831
123	399	2822
124	401	2812
125	403	2800
126	405	2785
127	407	2775
128	409	2764
129	411	2752
130	413	2742
131	415	2734
132	418	2727
133	420	2716
134	422	2706
135	424	2696
136	426	2685
137	428	2676
138	430	2667
139	433	2661
140	434	2648
141	435	2632
142	438	2625
143	440	2618
144	442	2609
145	444	2602
146	447	2595
147	449	2589
148	452	2582
149	454	2573
150	456	2566
151	458	2558
152	460	2547
153	461	2535
154	464	2529
155	466	2523
156	468	2517
157	471	2512
158	473	2507
159	476	2502
160	478	2493
161	480	2486
162	483	2481
163	485	2475
164	488	2469
165	490	2462
166	492	2458
167	495	2452
168	497	2445
169	499	2440
170	502	2434
171	504	2427
172	506	2420
173	508	2413
174	510	2406
175	512	2400
176	514	2393
177	516	2385
178	518	2378
179	520	2371
180	523	2366
181	525	2360
182	527	2352
183	528	2344
184	530	2336
185	532	2329
186	533	2321
187	535	2313
188	537	2308
189	539	2301
190	543	2301
191	544	2291
192	545	2281
193	546	2272
194	548	2262
195	549	2253
196	550	2243
197	551	2233
198	552	2224
199	553	2215
200	554	2205
201	556	2197
202	557	2187
203	558	2178
204	559	2169
205	560	2159
206	561	2149
207	562	2141
208	563	2132
209	564	2123
210	565	2115
211	567	2107
212	568	2100
213	569	2091
214	570	2082
215	571	2074
216	572	2065
217	573	2056
218	574	2048
219	575	2040
220	576	2031
221	577	2022
222	578	2014
223	579	2005
224	579	1997
225	580	1988
226	581	1981
227	582	1972
228	583	1965
229	584	1957
230	585	1949
231	586	1940
232	587	1932
233	587	1924
234	588	1916
235	589	1908
236	590	1900
237	591	1892
238	591	1884
239	592	1876
240	593	1868
241	594	1861
242	595	1853
243	595	1846
244	596	1838
245	597	1831
246	598	1824
247	599	1817
248	600	1809
249	600	1802
250	601	1795
251	602	1788
252	603	1781
253	604	1774
254	604	1767
255	605	1760
256	606	1753
257	607	1746
258	608	1739
259	609	1733
260	609	1726
261	610	1720
262	611	1713
263	612	1707
264	613	1702
265	614	1695
266	615	1689
267	616	1683
268	617	1676
269	617	1670
270	618	1664
271	619	1658
272	620	1652
273	621	1646
274	622	1639
275	622	1633
276	623	1627
277	624	1621
278	625	1616
279	626	1610
280	627	1605
281	628	1600
282	629	1594
283	630	1589
284	631	1583
285	632	1578
286	632	1572
287	633	1566
288	634	1561
289	635	1555
290	636	1550
291	637	1544
292	637	1539
293	638	1533
294	639	1528
295	640	1522
296	641	1517
297	641	1512
298	642	1507
299	644	1502
300	644	1497
301	645	1492
302	646	1487
303	647	1482
304	648	1477
305	649	1473
306	650	1468
307	651	1463
308	652	1458
309	652	1453
310	653	1448
311	654	1443
312	655	1438
313	656	1434
314	657	1429
315	658	1425
316	659	1421
317	660	1416
318	661	1411
